Country,Area,Location,Activity,Age,Fatal?,Species,Year
AUSTRALIA,New South Wales,Shelly Beach,Boogie Boarding,26,N,,2007
NEW CALEDONIA,North Province,Kaala-Gomen ,Spearfishing (free diving),30,N,Tiger shark,2007
USA,Florida,100 miles off Ft. Myers Beach,Shrimping,,N,14' shark,2007
AUSTRALIA,New South Wales,Cape Howe,Diving,41,N,"White shark, 3m",2007
AUSTRALIA,New South Wales,Brunswick Heads,Swimming,20,U,Shark involvement prior to death was not confirmed,2007
SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Swimming / Body Surfing,24,Y,Tiger shark,2007
AUSTRALIA,New South Wales,Sandbar Beach,Surfing,,N,2.4 m shark,2007
USA,New York,"Smith Point, Long Island",Surfing,54,U,"24"" to 30"" shark",2007
USA,Hawaii,"Majors Bay, Kaua'i",Surfing,24,N,"6' to 8' shark, possibly a tiger shark",2007
AUSTRALIA,Victoria,"Winki Pop, Bells Beach",Surfing,25,N,2.5 to 3 m shark,2006
NEW ZEALAND,North Island,"Raglan, Manu Bay",Surfing,10,N,2 to 3 m shark,2006
USA,California,"Dillon Beach, Marin County",Surfing,43,N,"White shark, 12' to 15' ",2006
SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,Fishing,25,N,"Raggedtooth shark, 150-kg",2006
AUSTRALIA,Western Australia,Wharton Beach,Body boarding,15,N,"White shark, 5m ",2006
USA,Hawaii,"Kihei, Maui",Swimming,29,N,2 m to 3 m shark,2006
SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Canoeing,,N,"Bull shark, 1.5m ",2006
USA,Oregon,"Siletz River mouth, Lincoln County",Surfing,22,N,"White shark, 16' ",2006
USA,Florida,Sebastian Inlet,Fishing,15,N,,2006
USA,Florida,"Daytona Beach, Volusia County",Surfing,20,N,,2006
USA,Texas,"Isla Blanca Park, South Padre Island",Surfing,,N,1' to 4' shark,2006
USA,Florida,"New Smyrna Beach, Volusia County",Playing soccer in the water,18,N,3' to 3.5' shark,2006
BAHAMAS,New Providence Island,Nassau,Free diving / modeling,26,N,,2006
SOUTH AFRICA,Western Cape Province,Miller's Point,Spearfishing,36,U,Invalid,2006
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,19,N,,2006
USA,Florida,"Off Key Largo, Monroe County",Diving / Kissing the shark,,N,Nurse shark,2006
USA,North Carolina,Onslow Beach,Surfing,16,N,,2006
USA,Florida,"Singer Island, Riviera Beach",Swimming,55,N,Spinner shark,2006
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,52,N,5' shark,2006
AUSTRALIA,Queensland,Great Barrier Reef  ,Diving,44,U,No shark involvement,2006
USA,Florida,"New Smyrna Beach, Volusia County",Standing,33,N,3' shark,2006
USA,Florida,"New Smyrna Beach, Volusia County",Swimming,12 or 13,N,,2006
SOUTH AFRICA,Western Cape Province,Noordhoek,Surfing,37,N,"White shark, 3.5m ",2006
USA,Oregon,"Florence, Lane County",Surfing,23,N,,2006
AUSTRALIA,South Australia,"Pennington Bay, Kangaroo Island",Surfing,,N,"Bronze whaler shark, 6'",2006
