Country,Fatal,Year
NEW ZEALAND,N,2009
ECUADOR,N,2009
NEW ZEALAND,N,2009
CUBA,N,2009
AUSTRALIA,N,2008
AUSTRALIA,N,2008
AUSTRALIA,N,2008
AUSTRALIA,Y,2008
USA,N,2008
NEW ZEALAND,N,2008
SOUTH AFRICA,N,2008
AUSTRALIA,N,2008
MOZAMBIQUE,Y,2008
EGYPT,N,2008
AUSTRALIA,N,2008
PHILIPPINES,Y,2008
AUSTRALIA,N,2008
AUSTRALIA,N,2008
AUSTRALIA,N,2008
USA,N,2008
CROATIA,N,2008
USA,N,2008
USA,N,2008
AUSTRALIA,N,2008
USA,N,2008
USA,N,2008
USA,N,2008
AUSTRALIA,N,2008
USA,N,2008
USA,N,2008
USA,N,2008
AUSTRALIA,N,2008
USA,U,2008
UNITED KINGDOM,N,2008
USA,N,2008
USA,N,2008
USA,N,2008
USA,U,2008
USA,N,2008
USA,N,2008
USA,N,2008
USA,N,2008
AUSTRALIA,N,2008
PANAMA,N,2008
MEXICO,N,2008
USA,N,2008
USA,N,2008
USA,N,2008
USA,N,2008
USA,N,2008
USA,N,2008
USA,N,2008
USA,U,2008
USA,N,2008
USA,N,2008
UNITED KINGDOM,N,2008
USA,U,2008
BAHAMAS,N,2008
SOUTH AFRICA,N,2008
SOUTH AFRICA,N,2008
USA,N,2008
USA,N,2008
USA,N,2008
USA,N,2008
BRAZIL,N,2008
USA,N,2008
SCOTLAND,N,2008
USA,N,2008
BRAZIL,N,2008
USA,N,2008
BAHAMAS,N,2008
MEXICO,N,2008
MEXICO,Y,2008
FIJI,Y,2008
AUSTRALIA,N,2008
NEW CALEDONIA,N,2008
USA,N,2008
MEXICO,Y,2008
USA,N,2008
USA,N,2008
NEW CALEDONIA,N,2008
USA,N,2008
USA,Y,2008
USA,N,2008
MEXICO,U,2008
AUSTRALIA,U,2008
USA,N,2008
USA,N,2008
AUSTRALIA,Y,2008
USA,N,2008
SOUTH AFRICA,N,2008
USA,N,2008
USA,N,2008
USA,N,2008
USA,N,2008
USA,N,2008
USA,N,2008
BAHAMAS,Y,2008
FRENCH POLYNESIA,N,2008
USA,N,2008
AUSTRALIA,N,2008
USA,N,2008
SOUTH AFRICA,N,2008
AUSTRALIA,N,2008
NEW ZEALAND,N,2008
USA,N,2008
USA,N,2008
MEXICO,N,2008
ECUADOR,N,2007
AUSTRALIA,N,2007
AUSTRALIA,N,2007
AUSTRALIA,U,2007
USA,N,2007
BRAZIL,N,2007
AUSTRALIA,N,2007
SOUTH AFRICA,N,2007
USA,N,2007
USA,N,2007
SOUTH AFRICA,N,2007
USA,N,2007
AUSTRALIA,N,2007
AUSTRALIA,N,2007
USA,N,2007
USA,N,2007
NEW CALEDONIA,Y,2007
BAHAMAS,N,2007
USA,N,2007
EGYPT,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
USA,N,2007
