Fatal,Year,ActivityType
Y,2012,deportes acuáticos
Y,1963,deportes acuáticos
N,1965,deportes acuáticos
N,1965,deportes acuáticos
N,2011,deportes acuáticos
N,1964,deportes acuáticos
Y,2011,deportes acuáticos
N,1964,deportes acuáticos
Y,1964,deportes acuáticos
N,1964,deportes acuáticos
N,1964,deportes acuáticos
Y,1966,deportes acuáticos
Y,1963,deportes acuáticos
Y,1963,deportes acuáticos
Y,2011,deportes acuáticos
Y,1966,deportes acuáticos
N,1962,deportes acuáticos
Y,1966,deportes acuáticos
N,2011,deportes acuáticos
N,2011,deportes acuáticos
Y,2011,deportes acuáticos
N,1962,deportes acuáticos
N,2013,deportes acuáticos
N,1970,deportes acuáticos
Y,1959,deportes acuáticos
N,1959,deportes acuáticos
N,2010,deportes acuáticos
Y,1974,deportes acuáticos
Y,1973,deportes acuáticos
Y,1973,deportes acuáticos
U,2010,deportes acuáticos
N,1970,deportes acuáticos
Y,1973,deportes acuáticos
Y,1959,deportes acuáticos
Y,1959,deportes acuáticos
Y,1958,deportes acuáticos
N,1975,deportes acuáticos
N,2010,deportes acuáticos
N,1972,deportes acuáticos
Y,1958,deportes acuáticos
Y,1958,deportes acuáticos
N,2010,deportes acuáticos
N,1958,deportes acuáticos
N,1974,deportes acuáticos
N,1972,deportes acuáticos
Y,1959,deportes acuáticos
Y,1960,deportes acuáticos
N,1971,deportes acuáticos
Y,2013,deportes acuáticos
U,2013,deportes acuáticos
Y,1971,deportes acuáticos
Y,1971,deportes acuáticos
Y,1970,deportes acuáticos
N,1960,deportes acuáticos
N,1970,deportes acuáticos
Y,2013,deportes acuáticos
N,1971,deportes acuáticos
Y,2010,deportes acuáticos
U,1972,deportes acuáticos
Y,1972,deportes acuáticos
N,1959,deportes acuáticos
Y,1959,deportes acuáticos
Y,1972,deportes acuáticos
N,2007,Actividades con tiburones
N,2014,Actividades con tiburones
N,1961,embarcaciones
N,1976,Actividades con tiburones
N,2006,Actividades con tiburones
Y,1998,deportes acuáticos
N,1972,otros
N,1944,otros
N,2008,otros
N,2009,otros
Y,1970,otros
N,2014,otros
Y,1970,otros
N,2004,otros
N,2009,otros
N,2009,otros
Y,2003,otros
Y,1973,otros
N,2018,otros
N,2015,otros
N,2004,otros
N,2012,otros
N,2007,otros
N,2016,otros
N,1920,otros
N,2007,otros
N,1998,otros
Y,1962,otros
N,1994,otros
Y,1953,otros
Y,2016,otros
N,1965,otros
